gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,0,0,50,1,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,1,Credit card (automatic),91.62,4767.81,0
Female,1,0,0,42,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,0,Bank transfer (automatic),114.7,4986.95,0
Male,0,0,0,4,1,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),72.23,291.81,0
Male,0,0,0,58,1,Yes,DSL,No,No,No,No,No,No,Two year,1,Mailed check,79.06,4783.48,0
Female,0,0,1,53,0,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,0,Bank transfer (automatic),72.49,3928.2,0
Female,0,1,1,3,1,Yes,Fiber optic,No,No,No,No,No,Yes,One year,1,Bank transfer (automatic),99.95,296.13,1
Female,0,0,0,0,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,1,Electronic check,118.75,0.0,1
Male,0,1,0,61,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,39.72,2454.68,0
Female,1,1,1,18,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),37.28,688.61,0
Male,1,0,1,63,1,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,0,Electronic check,82.03,5253.4,1
Female,0,0,0,33,1,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Mailed check,87.34,2915.23,1
Male,1,1,0,26,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,24.49,610.64,1
Female,0,1,0,37,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,47.35,1769.08,0
Female,0,0,0,17,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),28.96,468.22,0
Female,0,0,0,39,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),66.0,2455.67,0
Female,0,0,1,49,0,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Mailed check,94.88,4533.47,0
Female,1,1,1,32,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,39.04,1202.25,0
Male,0,0,0,14,1,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,1,Mailed check,81.93,1115.87,0
Female,0,1,0,66,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),82.86,5725.79,0
Female,0,1,0,17,1,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,1,Electronic check,102.42,1816.69,0
Female,0,0,0,27,1,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,0,Electronic check,98.89,2555.73,1
Male,0,0,0,17,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),35.64,580.69,0
Female,0,1,0,19,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),39.43,755.28,1
Male,0,1,1,59,1,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),40.79,2513.77,0
Female,1,0,0,4,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,52.25,214.47,0
Female,0,1,0,35,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,0,Credit card (automatic),117.73,4198.22,0
Male,0,1,0,16,1,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,1,Credit card (automatic),82.53,1307.71,0
Female,1,1,0,14,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,72.14,1030.64,0
Male,0,1,0,16,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),18.25,295.0,0
Male,0,1,1,25,1,No,DSL,Yes,No,No,No,No,No,Two year,1,Bank transfer (automatic),81.43,2095.1,0
Female,0,0,0,8,1,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,1,Electronic check,104.16,868.23,1
Male,0,0,0,31,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Mailed check,115.29,3659.23,1
Female,0,0,0,16,1,No,DSL,No,Yes,No,No,No,Yes,One year,0,Credit card (automatic),70.91,1104.83,0
Female,0,0,0,70,0,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Credit card (automatic),87.88,6138.26,0
Male,0,0,0,3,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),35.74,109.6,1
Male,0,0,0,1,1,Yes,DSL,Yes,No,No,No,No,No,Two year,0,Credit card (automatic),80.84,83.4,1
Male,0,0,0,18,1,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,1,Electronic check,107.2,1875.86,0
Male,0,1,0,33,1,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,1,Mailed check,111.53,3702.2,0
Female,0,0,1,53,1,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,0,Credit card (automatic),101.45,5613.1,0
Female,0,1,0,22,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),76.92,1721.24,1
Male,0,0,0,24,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,39.68,956.23,0
Female,0,0,0,70,1,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Electronic check,94.18,6723.6,1
Female,0,0,0,23,1,No,Fiber optic,No,No,Yes,No,No,No,Two year,1,Bank transfer (automatic),89.67,2075.23,0
Female,1,0,1,0,1,No,Fiber optic,No,Yes,No,Yes,No,Yes,One year,0,Mailed check,100.31,0.0,1
Female,0,1,0,3,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,18.25,54.24,1
Male,0,1,0,51,1,No,Fiber optic,No,Yes,No,No,No,No,Two year,0,Electronic check,86.56,4560.97,0
Male,0,1,0,19,1,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,1,Credit card (automatic),101.63,1948.06,0
Female,1,1,0,13,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,0,Electronic check,118.75,1532.51,0
Male,0,1,0,54,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Mailed check,75.06,3896.33,0
Male,0,1,0,18,1,Yes,DSL,No,No,Yes,No,Yes,No,One year,1,Mailed check,94.71,1639.15,0
Male,1,1,1,4,1,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,0,Electronic check,88.63,342.15,0
Female,0,0,0,32,1,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,82.38,2748.51,0
Female,0,1,0,64,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),83.7,5601.73,0
Female,0,1,0,1,1,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,0,Electronic check,84.69,86.67,1
Male,0,1,1,43,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),39.88,1637.31,0
Female,0,0,1,15,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,31.06,470.67,0
Female,0,1,1,19,1,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),94.46,1817.05,1
Male,0,0,0,25,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,1,Credit card (automatic),114.22,2993.9,1
Female,0,1,1,36,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,0,Mailed check,96.59,3386.62,1
Female,0,0,0,47,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),100.08,4808.7,0
Male,0,0,0,24,1,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),104.71,2637.09,0
Male,0,1,0,42,0,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Bank transfer (automatic),83.04,3640.82,0
Male,0,1,0,20,1,No,Fiber optic,No,No,No,No,Yes,No,Two year,1,Mailed check,103.87,2047.17,0
Female,0,1,0,11,1,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,106.81,1132.77,0
Female,1,0,0,0,1,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,1,Credit card (automatic),118.75,0.0,1
Female,0,1,1,28,1,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,1,Credit card (automatic),109.07,2919.54,1
Male,0,0,0,5,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),44.45,213.09,1
Male,0,0,0,2,1,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Mailed check,109.22,228.91,1
Female,0,0,1,53,1,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,102.0,5669.24,1
Female,0,1,0,42,1,No,Fiber optic,No,No,No,Yes,No,Yes,One year,0,Electronic check,99.79,4030.1,0
Male,0,1,0,7,1,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,1,Mailed check,101.46,680.52,0
Male,0,0,0,25,1,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,0,Electronic check,93.12,2366.31,0
Male,0,0,0,66,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),30.99,2110.56,0
Male,0,0,0,61,1,Yes,DSL,No,No,Yes,Yes,No,No,One year,1,Mailed check,89.07,5573.57,0
Female,0,0,0,1,1,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Two year,0,Credit card (automatic),96.31,91.58,0
Male,1,0,0,22,1,No,Fiber optic,No,No,Yes,Yes,No,No,One year,1,Bank transfer (automatic),97.13,2122.91,0
Female,0,0,0,44,1,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,1,Mailed check,90.61,4074.56,0
Female,0,0,0,51,1,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Bank transfer (automatic),98.47,5179.08,0
Female,0,1,0,28,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Credit card (automatic),86.78,2477.05,0
Male,0,0,0,27,1,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,1,Mailed check,105.44,2798.4,0
Male,0,1,1,5,1,No phone service,Fiber optic,No,No,No,No,Yes,No,One year,1,Electronic check,95.35,465.82,1
Male,0,1,0,53,0,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Two year,0,Mailed check,81.16,4443.01,0
Male,0,0,0,1,1,Yes,DSL,No,No,No,No,No,Yes,Two year,1,Bank transfer (automatic),83.71,84.07,1
Female,0,1,1,27,0,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),68.55,1805.38,1
Male,0,1,1,10,1,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,1,Mailed check,112.42,1165.49,1
Male,0,1,1,2,1,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),105.13,216.92,1
Female,1,0,0,29,1,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,96.11,2785.37,1
Male,0,0,0,17,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),118.75,2081.41,0
Female,0,0,1,0,1,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),83.16,0.0,1
Female,0,1,0,7,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,32.38,235.9,0
Female,0,1,0,18,0,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),86.32,1628.0,0
Female,1,1,1,71,1,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,0,Electronic check,91.03,6147.0,0
Female,0,1,1,2,1,No,DSL,No,No,No,No,No,Yes,Two year,0,Mailed check,83.36,172.84,1
Female,0,0,0,3,1,No,DSL,No,No,No,Yes,No,No,Two year,1,Credit card (automatic),78.49,241.4,0
Female,0,1,1,12,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,41.69,518.04,0
Female,0,1,1,29,1,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,1,Electronic check,97.88,2780.85,0
Male,0,1,0,21,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),118.75,2607.22,0
Male,0,1,0,33,1,No,Fiber optic,No,No,Yes,No,No,No,One year,1,Electronic check,93.77,3197.43,0
Male,1,1,0,3,1,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,0,Mailed check,97.14,288.86,1
Male,0,0,0,6,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,0,Credit card (automatic),70.17,433.16,0
Female,0,0,0,44,1,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,102.32,4468.79,1
Male,0,0,1,1,1,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),88.41,86.9,1
Female,0,0,1,61,1,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,0,Mailed check,97.34,5727.54,0
Male,0,1,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,31.3,32.64,1
Male,0,0,0,22,1,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,79.87,1709.97,1
Male,1,0,0,20,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,37.42,749.24,0
Female,0,1,1,29,1,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,1,Electronic check,98.79,2873.06,0
Male,0,0,1,7,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,39.13,261.14,1
Female,0,0,1,68,1,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),90.81,6358.25,0
Female,0,1,0,22,1,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,1,Credit card (automatic),95.85,2149.5,0
Male,0,0,1,45,0,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,1,Mailed check,92.21,4062.16,0
Male,0,0,0,7,0,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,One year,0,Mailed check,86.56,632.15,1
Male,0,0,0,66,1,Yes,DSL,No,No,No,No,No,No,One year,1,Bank transfer (automatic),70.96,4913.57,0
Female,0,0,1,10,1,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,1,Electronic check,95.45,971.09,1
Male,1,1,1,15,1,No,DSL,No,Yes,No,No,No,No,One year,0,Bank transfer (automatic),68.15,1047.67,1
Female,1,1,0,3,1,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,1,Credit card (automatic),107.76,309.04,1
Female,0,0,1,42,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),50.86,2122.32,0
Male,0,0,1,16,1,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,78.1,1190.2,0
Male,0,0,1,4,1,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,0,Credit card (automatic),109.3,446.78,0
Female,0,1,0,17,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,0,Credit card (automatic),106.42,1868.99,0
Female,0,1,0,16,1,Yes,DSL,No,No,No,No,No,No,Two year,0,Bank transfer (automatic),65.58,1009.31,0
Female,0,1,1,35,1,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Credit card (automatic),102.61,3445.47,0
Male,0,1,0,22,0,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Mailed check,98.07,2227.3,0
Female,0,1,0,45,1,Yes,DSL,No,Yes,Yes,Yes,No,No,One year,1,Credit card (automatic),88.86,4001.54,0
Male,0,1,0,53,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),55.99,3070.26,0
Female,0,1,1,16,0,No phone service,DSL,No,No,No,No,No,Yes,Two year,0,Electronic check,62.39,987.83,0
Female,0,1,0,34,1,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,99.27,3265.3,1
Male,0,1,0,56,1,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,97.88,5410.52,0
Female,0,0,0,5,1,No,DSL,No,Yes,No,No,No,Yes,Two year,1,Bank transfer (automatic),89.78,438.99,1
Male,0,0,0,21,1,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Credit card (automatic),99.96,2101.09,0
Male,1,1,0,1,1,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,1,Electronic check,90.12,93.64,1
Female,0,0,0,40,1,Yes,DSL,No,Yes,No,Yes,No,No,Two year,1,Bank transfer (automatic),86.72,3419.38,0
Male,0,0,0,33,1,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Mailed check,95.8,3235.75,0
Male,0,0,0,45,1,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,0,Bank transfer (automatic),95.11,4339.42,1
Female,1,1,0,47,1,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,0,Credit card (automatic),86.22,3939.98,1
Male,0,1,1,65,1,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,1,Mailed check,104.91,6694.55,0
Male,0,0,1,3,1,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,87.6,255.09,1
Male,1,1,0,41,0,No phone service,DSL,Yes,Yes,No,No,No,No,Two year,1,Electronic check,54.28,2282.96,0
Female,0,0,0,61,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Credit card (automatic),22.3,1309.73,0
Male,1,0,0,0,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),45.61,0.0,1
Female,1,0,0,29,1,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,0,Electronic check,87.51,2454.37,0
Female,1,1,1,26,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,106.77,2692.02,1
Male,0,1,0,38,0,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,1,Bank transfer (automatic),86.87,3137.72,0
Male,0,1,1,29,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Mailed check,105.75,3048.6,0
Male,0,0,0,25,1,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,0,Bank transfer (automatic),105.72,2724.76,0
Female,0,1,0,23,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,49.08,1082.34,0
Male,0,0,1,25,1,No,Fiber optic,No,No,No,No,No,No,One year,0,Electronic check,89.1,2304.63,1
Male,0,1,1,2,1,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Mailed check,116.37,240.73,0
Male,0,1,1,53,1,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,0,Mailed check,98.48,5079.65,1
Male,0,1,1,14,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Mailed check,87.29,1267.67,0
Male,0,0,0,17,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,0,Mailed check,118.75,2084.67,1
Female,0,0,1,3,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,0,Credit card (automatic),102.97,313.68,1
Female,0,1,1,2,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Credit card (automatic),102.39,211.56,0
Male,0,0,1,3,1,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,1,Mailed check,87.98,252.69,1
Male,0,0,0,17,1,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,0,Bank transfer (automatic),105.02,1753.04,1
Male,0,0,0,63,1,No,Fiber optic,No,No,No,No,Yes,No,One year,0,Electronic check,97.42,6007.74,0
Male,0,0,1,52,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Credit card (automatic),69.19,3699.21,0
Female,0,1,0,18,1,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,1,Mailed check,99.48,1835.72,1
Male,0,1,0,4,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),36.2,150.46,0
Female,0,0,0,13,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,47.02,598.33,0
Female,0,1,0,68,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,40.0,2712.88,0
Male,1,1,1,51,1,No,DSL,No,No,No,No,No,Yes,One year,1,Electronic check,68.58,3329.26,0
Female,0,1,0,48,0,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,1,Credit card (automatic),88.34,4448.16,0
Female,0,0,0,54,1,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,1,Mailed check,80.05,4284.24,1
Female,0,1,0,3,1,No,Fiber optic,Yes,No,Yes,No,No,No,One year,1,Credit card (automatic),101.75,307.02,0
Female,0,0,1,17,1,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,0,Mailed check,102.63,1750.37,0
Male,0,1,0,10,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,31.46,311.12,1
Male,0,0,0,25,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Electronic check,36.35,884.48,0
Female,0,1,1,1,1,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,1,Electronic check,81.98,84.0,1
Male,0,0,1,3,1,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),71.84,212.85,0
Male,0,0,0,15,0,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,28.35,432.59,1
Male,0,0,0,0,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),46.91,0.0,1
Male,0,1,0,16,1,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,0,Mailed check,108.56,1776.21,1
Male,1,0,0,10,0,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),91.24,874.22,0
Female,0,1,0,7,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,1,Credit card (automatic),117.21,859.41,0
Male,0,1,1,30,1,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Credit card (automatic),113.94,3506.93,0
Male,0,0,0,70,1,No,DSL,No,No,No,No,No,No,One year,1,Credit card (automatic),69.99,4946.98,0
Male,0,0,0,67,0,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),83.07,5447.93,0
Male,0,0,0,15,1,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,0,Credit card (automatic),100.73,1458.3,1
Female,0,0,1,10,1,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Credit card (automatic),76.9,791.63,1
Female,0,1,1,69,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,43.6,2976.62,0
Female,0,0,1,26,0,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),66.36,1796.41,0
Female,0,1,0,33,1,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,0,Credit card (automatic),118.75,4091.35,0
Male,0,0,0,13,1,No,Fiber optic,No,Yes,No,No,No,No,Two year,0,Bank transfer (automatic),98.11,1218.76,0
Female,1,0,1,5,1,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,1,Electronic check,89.27,449.94,0
Male,0,0,0,22,1,No,DSL,No,Yes,No,No,Yes,No,Two year,0,Bank transfer (automatic),79.8,1735.19,0
Male,0,1,0,46,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,1,Electronic check,114.42,5215.12,0
Male,0,0,0,21,1,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),95.57,2030.29,1
Male,0,1,0,65,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),110.91,7409.09,0
Male,1,1,1,22,1,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,0,Electronic check,90.47,2000.23,1
Female,0,1,1,69,1,No,DSL,No,Yes,No,Yes,Yes,No,One year,1,Electronic check,76.45,5410.49,0
Female,0,0,0,0,1,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),38.98,0.0,1
Female,0,1,0,53,1,No,Fiber optic,No,No,Yes,No,Yes,No,One year,1,Mailed check,102.97,5408.86,0
Female,0,1,1,16,1,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,0,Mailed check,98.0,1559.3,0
Male,0,1,0,47,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,42.01,2008.7,0
Female,0,1,0,8,1,No,DSL,No,Yes,No,No,No,Yes,Two year,0,Electronic check,83.04,633.73,0
Male,0,0,0,23,1,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,102.44,2265.96,1
Female,1,0,1,20,1,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,86.33,1666.26,1
Male,0,1,0,27,1,Yes,Fiber optic,No,No,Yes,No,No,No,One year,1,Electronic check,99.2,2699.34,1
Male,0,0,0,59,0,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,66.29,3928.35,1
Female,0,0,0,23,1,No phone service,DSL,No,No,No,No,No,No,One year,1,Credit card (automatic),56.75,1279.92,1
Male,0,0,0,64,1,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,0,Mailed check,89.29,5757.37,0
Male,0,0,0,0,1,No,Fiber optic,No,No,No,No,Yes,No,One year,0,Mailed check,92.65,0.0,1
Female,0,1,0,46,1,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,1,Bank transfer (automatic),108.92,5191.69,1
Male,0,0,0,20,1,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Credit card (automatic),37.25,734.53,1
Female,0,1,0,64,1,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,1,Bank transfer (automatic),88.79,5939.01,0
Female,1,1,0,25,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,1,Electronic check,108.09,2663.02,1
Female,0,0,1,17,1,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,Bank transfer (automatic),91.37,1564.71,0
